0.000000 9.891453 -0.108547
0.105263 10.829699 -0.168639
0.210526 11.982743 0.094654
0.315789 12.570798 -0.098455
0.421053 13.315641 -0.026187
0.526316 13.735786 -0.170031
0.631579 14.513454 0.152235
0.736842 14.512878 -0.195156
0.842105 14.891035 -0.055225
0.947368 15.067800 -0.008100
1.052632 15.319787 0.222834
1.157895 15.031196 0.021777
1.263158 14.875442 0.062146
1.368421 14.569256 0.060669
1.473684 14.059944 -0.035346
1.578947 13.681683 0.108276
1.684211 12.967823 0.024887
1.789474 12.212780 0.008902
1.894737 11.541325 0.185093
2.000000 10.502457 0.102457
